"ToyDescription","BrandId","SalesPrice","PurchasePrice","VendorName","VendorId"
"FIFA 14",55591,9.99,6.94,"EA",22310
"Captain's Bundle",77097,19.99,14.27,"EA",22310
"Battlefield 4 Second Assault",51861,14.99,10.61,"EA",22310
"Tomb Raider",34343,39.99,27.63,"EA",22310
"Command & Conquer 3 Tiberium Wars",8115,14.85,10.37,"EA",22310
"Mass Effect",21460,29.99,20.73,"EA",22310
"Premium Timesavers Pack",66908,19.99,14.21,"EA",22310
"Need for Speed Most Wanted Complete DLC Bundle",31133,29.99,20.29,"EA",22310
"Amazing Adventures Around the World",80620,19.99,14.2,"EA",22310
"Battlefield 4 Night Operations",90391,49.99,33.49,"EA",22310
"Amusement Park Set",91255,99.99,71.33,"EA",22310
"Theme Hospital",31974,38,25.78,"EA",22310
"Need for Speed Most Wanted NFS Heroes Pack",41558,9.99,6.84,"EA",22310
"Need for Speed Rivals Ferrari Edizioni Speciali Complete Pack",54103,5.99,4.18,"EA",22310
"Battlefield 4 Digital Deluxe",19869,49.99,33.9,"EA",22310
"GRID 2",67909,29.99,20.74,"EA",22310
"Ground Vehicle Shortcut",12904,19.99,13.84,"EA",22310
"The Sims 4 Digital Deluxe",52707,70,46.81,"EA",22310
"The Sims 3 Movie Stuff",76575,19.99,13.63,"EA",22310
"Battlefield 3 Premium",55101,24.95,17.66,"EA",22310
"Dead Island - Game of the Year Edition",88239,19.99,13.68,"EA",22310
"Vacation Quest - The Hawaiian Islands",59671,6.75,4.56,"EA",22310
"Tales from the Dragon Mountain 2: The Lair",53646,6.99,4.9,"EA",22310
"The Sims 3 Monte Vista",64326,19.99,14.12,"EA",22310
"Magic Carpet",33141,23.99,16.32,"EA",22310
"Crusader Kings II",5796,24.99,17.2,"EA",22310
"Dragon Age: Inquisition - Jaws of Hakkon",94384,14.99,10.21,"EA",22310
"METAL GEAR RISING: REVENGEANCE",3027,12.95,9.06,"EA",22310
"The Walking Dead",4372,1.99,1.39,"EA",22310
"Watch_Dogs",54978,16.73,11.24,"EA",22310
"Sharpshooter Pack",22860,35,24.53,"EA",22310
"Need for Speed Rivals Loaded Garage Pack",82126,4.99,3.49,"EA",22310
"Wing Commander II",13091,10.6,7.53,"EA",22310
"Burnout Paradise Bonus Vehicle Pack",29000,9.99,6.82,"EA",22310
"The Witcher 3: Wild Hunt Expansion Pass",54646,24.99,17.26,"EA",22310
"Battlefield Hardline Professional Shortcut Unlock",964,49.99,35.45,"EA",22310
"Saints Row: The Third",6880,17.01,12.07,"EA",22310
"Amazing Adventures The Lost Tomb",16637,7.55,5.35,"EA",22310
"Vehicle Shortcut Bundle",41234,19.99,13.41,"EA",22310
"Battlefield 3 Back to Karkand Expansion Pack",91790,39.99,27.26,"EA",22310
"Dragon Age: Origins",38944,19.99,14.21,"EA",22310
"Battlefield 4 Vehicle Shortcut Bundle",96063,19.99,14.11,"EA",22310
"Mass Effect 2 Digital Deluxe Edition",86945,29.99,20.58,"EA",22310
"Battlefield Hardline Robbery",36473,14.99,10.06,"EA",22310
"Dead Island Riptide",59617,19.99,13.59,"EA",22310
"STAR WARS Battlefront Season Pass",85440,19.99,13.44,"EA",22310
"Wing Commander 1",82354,5.99,4.04,"EA",22310
"French City Set",54515,56.42,37.97,"EA",22310
"Need for Speed Rivals Concept Lamborghini Cops",57228,5.99,4,"EA",22310
