"BrandID","Description","RetailPrice","Size","Volume","SalesPrice","PurchasePrice"
"01-00058","Gekkeikan Black & Gold Sake",12.99,"750mL","750",9.28,6.77
"01-00062","Herradura Silver Tequila",36.99,"750mL","750",28.67,21.72
"01-00063","Herradura Reposado Tequila",38.99,"750mL","750",30.46,22.73
"01-00072","No. 3 London Dry Gin",34.99,"750mL","750",26.11,20.4
"01-00075","Three Olives Tomato Vodka",14.99,"750mL","750",10.94,8.55
"01-00077","Three Olives Espresso Vodka",12.99,"750mL","750",10.39,8.31
"01-00079","Three Olives Loopy Vodka",14.99,"750mL","750",9.62,7.46
"01-00115","Belvedere Vodka",27.99,"1000mL","1000",21.37,16.44
"01-00126","Grey Goose Vodka",32.99,"1000mL","1000",20.14,14.92
"01-00168","Three Olives Strawberry",12.99,"750mL","750",8.95,7.16
"01-00171","Gentleman Jack",49.99,"1750mL","1750",36.76,26.45
"01-00173","Hornitos Reposado VAP",22.99,"750mL","750",14.7,10.97
"01-00175","1800 Anejo Tequila",36.99,"750mL","750",26.8,20.15
"01-00178","Wild Turkey Russell's RSV",29.99,"750mL","750",20.76,16.48
"01-00192","Milagro Anejo Tequila",35.99,"750mL","750",27.68,21.29
"01-00211","Cold River Gin",24.99,"750mL","750",19.83,14.27
"01-00229","Sauza Gold VAP",12.99,"750mL","750",10.39,7.64
"01-00233","Tullamore Dew 12 Yr Old",46.99,"750mL","750",30.21,23.06
"01-00247","Gran Patron Platinum Tequil",199.99,"750mL","750",156.24,121.12
"01-00254","DeKuyper Root Beer Schnapps",10.99,"1000mL","1000",8.79,6.87
"01-00261","Svedka Citron Vodka",12.99,"1000mL","1000",9.99,7.68
"01-00273","Sauza Extra Gold Tequila",21.99,"1750mL","1750",17.31,13.42
"01-00283","Milagro Tequila Reposado SBR",61.99,"750mL","750",39.69,29.18
"01-00284","Milagro Tequila Anejo SBR",77.99,"750mL","750",53.43,38.16
"01-00294","Old Mexico Gold Tequila",8.49,"1000mL","1000",6.79,5.14
"01-00305","Crown Royal Canadian Whisky",27.99,"1000mL","1000",22.21,16.83
"01-00323","Tequila Rose Strawberry Gift",13.99,"750mL","750",10.6,8.28
"01-00344","Punt e Mes Sweet Vermouth",19.99,"750mL","750",15.74,12.49
"01-00361","Effen Cucumber Vodka",19.99,"750mL","750",14.28,11.33
"01-00376","Aperol Liqueur",26.99,"750mL","750",18.97,13.65
"01-00384","Ardbeg Corryvreckan Scotch",74.99,"750mL","750",54.68,42.72
"01-00388","Smirnoff 80 Proof",14.49,"1000mL","1000",11.41,8.64
"01-00408","Wild Turkey American Honey",16.99,"750mL","750",12.97,9.47
"01-00415","Jose Cuervo Especial",20.99,"1000mL","1000",13.04,9.45
"01-00419","Absolut Citron",21.99,"1000mL","1000",15.99,12.11
"01-00425","Hennessy Paradis",799.99,"750mL","750",620.15,496.12
"01-00426","Crystal Head Vodka",7.99,"50mL","50",6.29,4.77
"01-00435","Il Tramonto Limoncello",17.99,"750mL","750",12.79,9.27
"01-00438","Licor 43 Vanilla Liqueur",19.99,"750mL","750",12.77,9.6
"01-00443","St Germain Liqueur",33.99,"750mL","750",24.45,18.81
"01-00450","Vincent Van Gogh Double Esp",24.99,"750mL","750",19.52,15.37
"01-00463","Kirk & Sweeney 12Yr Old Rum",33.99,"750mL","750",24.63,17.72
"01-00482","Absolut 80 Proof",21.99,"1000mL","1000",14.28,11.24
"01-00485","Seagrams 7 Crown",12.99,"1000mL","1000",10.39,7.47
"01-00497","Capt Morgan Spiced Rum",19.99,"1000mL","1000",14.7,11.67
"01-00508","Bacardi Superior Rum",12.99,"1000mL","1000",9.77,7.52
"01-00513","Ocean Vodka",28.99,"750mL","750",23.01,18.26
"01-00515","Hirsch Selection Bourbon",35.99,"750mL","750",25.36,18.38
"01-00525","El Tesoro Anejo Gold Tequil",39.99,"750mL","750",31,22.3
"01-00536","Svedka Cherry Vodka",12.99,"1000mL","1000",9.92,7.19
"01-00538","Amaretto DiSaronno",12.99,"375mL","375",7.96,6.03
"01-00539","Bowman's Vodka",5.79,"1000mL","1000",4.2,3.21
"01-00543","Berkshire Mtn Ethereal Gin",31.99,"750mL","750",22.72,17.08
"01-00555","Art In The Age Sage",29.99,"750mL","750",21.73,17.11
"01-00567","Ketel One Vodka",28.99,"1000mL","1000",20.71,16.18
